YM,t
0.804885,0.008333333
0.816431,0.016666667
0.813509,0.025
0.778417,0.033333333
0.72955,0.075
0.780394,0.083333333
0.907809,0.091666667
0.987573,0.1
1.122107,0.108333333
1.131193,0.116666667
1.260379,0.125
1.350964,0.133333333
1.440266,0.141666667
1.47833,0.15
1.48551,0.158333333
1.533742,0.166666667
1.614754,0.175
1.635883,0.183333333
1.670798,0.191666667
1.731598,0.2
1.727848,0.208333333
1.785277,0.216666667
1.815611,0.225
1.843632,0.233333333
1.87656,0.241666667
1.890418,0.25
1.918639,0.258333333
1.96973,0.266666667
2.012608,0.275
2.059249,0.283333333
2.076981,0.291666667
2.139159,0.3
2.092185,0.308333333
2.183707,0.316666667
2.170555,0.325
2.249004,0.333333333
2.264994,0.341666667
2.328163,0.35
2.298522,0.358333333
2.31632,0.366666667
2.338426,0.375
2.381894,0.383333333
2.397167,0.391666667
2.431235,0.4
2.473695,0.408333333
2.510946,0.416666667
2.485846,0.425
2.490835,0.433333333
2.520133,0.441666667
2.535214,0.45
2.578751,0.458333333
2.590546,0.466666667
2.628579,0.475
2.625218,0.483333333
2.671715,0.491666667
2.652124,0.5
2.700203,0.508333333
2.70486,0.516666667
2.725199,0.525
2.751365,0.533333333
2.761196,0.541666667
2.788903,0.55
2.80924,0.558333333
2.814563,0.566666667
2.842347,0.575
2.850438,0.583333333
2.863834,0.591666667
2.879003,0.6
2.88335,0.608333333
2.892057,0.616666667
2.950015,0.625
2.986866,0.633333333
2.973315,0.641666667
2.982732,0.65
2.983353,0.658333333
3.00763,0.666666667
3.006811,0.675
3.02804,0.683333333
3.077303,0.691666667
3.099587,0.7
3.112117,0.708333333
3.135533,0.716666667
3.121286,0.725
3.122874,0.733333333
3.135031,0.741666667
3.169211,0.75
3.183614,0.758333333
3.177721,0.766666667
3.220942,0.775
3.19007,0.783333333
3.261339,0.791666667
3.240996,0.8
3.218238,0.808333333
3.294968,0.816666667
3.271581,0.825
3.270737,0.833333333
3.274229,0.841666667
3.278321,0.85
3.278847,0.858333333
3.318273,0.866666667
3.311455,0.875
3.316759,0.883333333
3.334914,0.891666667
3.36769,0.9
3.373273,0.908333333
3.3594,0.916666667
3.408337,0.925
3.356625,0.933333333
3.414029,0.941666667
3.39464,0.95
3.446637,0.958333333
3.413016,0.966666667
3.428935,0.975
3.423361,0.983333333
3.420175,0.991666667
3.443131,1
3.462959,1.008333333
3.498226,1.016666667
3.449976,1.025
3.489212,1.033333333
3.504096,1.041666667
3.499934,1.05
3.481719,1.058333333
3.49906,1.066666667
3.499649,1.075
3.482752,1.083333333
3.505259,1.091666667
3.501727,1.1
3.497226,1.108333333
3.510937,1.116666667
3.544871,1.125
3.546466,1.133333333
3.536015,1.141666667
3.515385,1.15
3.504878,1.158333333
3.536316,1.166666667
3.54086,1.175
3.519707,1.183333333
3.515735,1.191666667
3.546847,1.2
3.534851,1.208333333
3.558635,1.216666667
3.538359,1.225
3.552154,1.233333333
3.594787,1.241666667
3.584376,1.25
3.578423,1.258333333
3.61927,1.266666667
3.59428,1.275
3.537559,1.283333333
3.544902,1.291666667
3.587235,1.3
3.553005,1.308333333
3.564019,1.316666667
3.558619,1.325
3.58098,1.333333333
3.563349,1.341666667
3.588806,1.35
3.563204,1.358333333
3.531702,1.366666667
3.590976,1.375
3.555304,1.383333333
3.535738,1.391666667
3.560528,1.4
3.563426,1.408333333
3.545251,1.416666667
3.527479,1.425
3.538549,1.433333333
3.517591,1.441666667
3.567515,1.45
3.52076,1.458333333
3.557321,1.466666667
3.552112,1.475
3.519717,1.483333333
3.554621,1.491666667
3.538397,1.5
3.544611,1.508333333
3.533316,1.516666667
3.515251,1.525
3.492174,1.533333333
3.48769,1.541666667
3.495139,1.55
3.49361,1.558333333
3.496573,1.566666667
3.463154,1.575
3.447545,1.583333333
3.46873,1.591666667
3.45542,1.6
3.425727,1.608333333
3.42692,1.616666667
3.454256,1.625
3.440571,1.633333333
3.450479,1.641666667
3.420125,1.65
3.395285,1.658333333
3.380583,1.666666667
3.416165,1.675
3.404408,1.683333333
3.371839,1.691666667
3.38267,1.7
3.383334,1.708333333
3.346587,1.716666667
3.331893,1.725
3.321325,1.733333333
3.31748,1.741666667
3.322169,1.75
3.283612,1.758333333
3.298039,1.766666667
3.264211,1.775
3.271951,1.783333333
3.21288,1.791666667
3.23143,1.8
3.220525,1.808333333
3.231862,1.816666667
3.218283,1.825
3.212317,1.833333333
3.154444,1.841666667
3.15219,1.85
3.163083,1.858333333
3.158264,1.866666667
3.097435,1.875
3.133376,1.883333333
3.095324,1.891666667
3.097269,1.9
3.057839,1.908333333
3.078118,1.916666667
3.016914,1.925
3.006695,1.933333333
2.988916,1.941666667
3.013674,1.95
2.998367,1.958333333
2.993543,1.966666667
2.957508,1.975
2.903269,1.983333333
2.892864,1.991666667
2.858413,2
2.877582,2.008333333
2.848707,2.016666667
2.878072,2.025
2.879173,2.033333333
2.834775,2.041666667
2.79611,2.05
2.80201,2.058333333
2.764395,2.066666667
2.724713,2.075
3.66682,2.083333333
