R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.603,12.288,0.78,0.694,172.011,0.307,6,1.123,0.89,0.693
2,1.601,11.976,1,0.838,92.873,0.792,7,1.194,0.838,0.967
3,1.607,11.568,0.853,0.632,175.134,0.349,8,1.351,0.74,0.703
4,1.605,11.277,1.051,0.816,90.987,0.823,9,1.289,0.776,0.973
5,1.616,10.875,0.935,0.883,162.557,0.592,10,1.058,0.945,0.942
6,1.611,10.574,1.033,0.854,91.285,0.808,11,1.21,0.827,0.965
7,1.609,10.169,1.036,0.864,91.459,0.688,12,1.2,0.834,0.954
8,1.614,9.874,0.949,0.924,138.85,0.636,13,1.027,0.974,0.93
9,1.621,9.495,1.077,0.853,92.195,0.69,14,1.262,0.792,0.957
10,1.642,9.089,0.997,0.878,173.649,0.344,15,1.136,0.881,0.838
11,1.605,8.814,1.007,0.882,92.464,0.664,16,1.142,0.876,0.951
12,1.605,8.39,0.995,0.886,91.568,0.652,17,1.123,0.89,0.949
13,1.617,8.126,0.974,0.925,144.236,0.366,18,1.053,0.95,0.889
14,1.619,7.766,1.113,0.868,95.437,0.446,19,1.283,0.78,0.924
15,1.609,7.38,0.976,0.852,161.795,0.479,20,1.146,0.873,0.915
16,1.602,7.104,1.001,0.891,101.037,0.404,21,1.123,0.89,0.907
17,1.59,6.686,0.961,0.896,101.346,0.58,22,1.072,0.933,0.931
18,1.582,6.418,0.936,0.867,173.497,0.473,23,1.08,0.926,0.928
19,1.577,6.032,1.047,0.849,91.87,0.627,24,1.234,0.811,0.946
20,1.572,5.691,0.95,0.832,172.775,0.558,25,1.142,0.876,0.93
21,1.57,5.408,0.999,0.877,92.136,0.643,26,1.14,0.877,0.95
22,1.566,5.01,0.964,0.875,99.671,0.618,27,1.102,0.908,0.936
23,1.55,4.737,0.915,0.86,172.632,0.583,28,1.064,0.94,0.94
24,1.548,4.347,1.018,0.838,91.086,0.733,29,1.214,0.823,0.954
25,1.532,3.712,0.979,0.843,93.754,0.675,31,1.162,0.861,0.948
26,1.533,3.335,0.96,0.872,95.892,0.743,32,1.101,0.909,0.961
27,1.517,3.068,0.903,0.855,4.897,0.662,33,1.056,0.947,0.944
28,1.519,2.683,0.989,0.846,89.741,0.673,34,1.169,0.856,0.953
29,1.51,2.059,0.942,0.867,88.774,0.732,36,1.087,0.92,0.957
30,1.504,1.677,0.979,0.863,87.416,0.495,37,1.135,0.881,0.897
31,1.477,1.049,0.994,0.825,90.674,0.688,39,1.204,0.831,0.961
32,1.466,0.448,0.904,0.87,83.005,0.592,41,1.038,0.963,0.911
33,1.459,0.279,0.838,0.535,0.189,0.379,42,1.566,0.639,0.802
