 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.407,10.492,0.383,0.348,177.917,0.321,1,1.101,0.908,0.685
2,1.4,10.301,0.385,0.353,175,0.309,2,1.092,0.915,0.683
3,1.39,10.103,0.388,0.365,169.554,0.307,3,1.064,0.939,0.7
4,1.383,9.909,0.386,0.367,164.828,0.289,4,1.052,0.951,0.702
5,1.373,9.718,0.384,0.367,171.043,0.279,5,1.045,0.957,0.691
6,1.36,9.523,0.387,0.367,170.927,0.281,6,1.053,0.95,0.695
7,1.346,9.329,0.385,0.359,173.007,0.279,7,1.071,0.934,0.687
8,1.334,9.137,0.385,0.355,167.399,0.279,8,1.083,0.924,0.686
9,1.32,8.945,0.384,0.358,168.183,0.292,9,1.071,0.934,0.682
10,1.305,8.753,0.38,0.355,166.527,0.266,10,1.07,0.934,0.675
11,1.292,8.562,0.38,0.355,172.581,0.27,11,1.071,0.934,0.679
12,1.273,8.376,0.383,0.358,166.097,0.263,12,1.07,0.934,0.683
13,1.258,8.184,0.371,0.339,168.699,0.239,13,1.094,0.914,0.653
14,1.239,7.999,0.432,0.43,123.743,0.852,14,1.005,0.995,0.952
15,1.225,7.807,0.376,0.362,148.516,0.237,15,1.039,0.962,0.698
16,1.203,7.62,0.433,0.42,115.257,0.886,16,1.031,0.97,0.96
17,1.182,7.435,0.435,0.424,110.53,0.869,17,1.026,0.975,0.954
18,1.156,7.25,0.437,0.419,116.676,0.825,18,1.043,0.959,0.947
19,1.137,7.063,0.429,0.417,143.441,0.804,19,1.029,0.972,0.951
20,1.114,6.875,0.451,0.428,104.085,0.882,20,1.055,0.948,0.963
21,1.091,6.688,0.453,0.433,104.519,0.868,21,1.047,0.955,0.962
22,1.068,6.498,0.445,0.427,99.016,0.884,22,1.043,0.959,0.958
23,1.044,6.312,0.447,0.428,114.558,0.812,23,1.043,0.959,0.955
24,1.014,6.123,0.447,0.425,115.48,0.875,24,1.053,0.95,0.951
25,0.992,5.94,0.445,0.421,109.811,0.894,25,1.057,0.946,0.962
26,0.963,5.75,0.435,0.426,115.63,0.907,26,1.021,0.979,0.964
27,0.937,5.569,0.434,0.429,122.829,0.851,27,1.013,0.987,0.951
28,0.908,5.382,0.438,0.424,115.581,0.878,28,1.033,0.969,0.958
29,0.88,5.206,0.378,0.368,2.242,0.287,29,1.027,0.974,0.726
30,0.848,5.018,0.385,0.368,178.303,0.258,30,1.046,0.956,0.716
31,0.82,4.836,0.379,0.364,175.077,0.286,31,1.042,0.959,0.719
32,0.79,4.654,0.381,0.37,26.475,0.288,32,1.029,0.971,0.721
33,0.755,4.471,0.386,0.377,12.037,0.305,33,1.024,0.976,0.746
34,0.725,4.292,0.382,0.373,0.476,0.294,34,1.024,0.977,0.73
35,0.692,4.113,0.39,0.373,178.069,0.31,35,1.047,0.956,0.75
36,0.659,3.939,0.389,0.376,17.907,0.303,36,1.035,0.966,0.752
37,0.625,3.769,0.389,0.376,17.692,0.297,37,1.034,0.967,0.753
38,0.595,3.599,0.389,0.373,15.554,0.313,38,1.043,0.959,0.76
39,0.563,3.435,0.386,0.376,14.556,0.309,39,1.028,0.972,0.745
40,0.527,3.267,0.431,0.422,137.209,0.829,40,1.019,0.981,0.946
